국립공원별,구분1,구분2,표본수,인지,비인지,계(%)
주왕산,성별,여성,511,310,201,100
주왕산,연령별,20대,179,151,28,100
주왕산,연령별,30대,212,153,59,100
주왕산,연령별,40대,223,113,110,100
주왕산,연령별,50대,179,78,101,100
주왕산,연령별,60대 이상,207,120,87,100
주왕산,지역별,서울,209,156,53,100
주왕산,지역별,부산,74,32,42,100
주왕산,지역별,대구,52,21,31,100
주왕산,지역별,인천,58,25,33,100
주왕산,지역별,광주,27,11,16,100
주왕산,지역별,대전,31,11,20,100
주왕산,지역별,울산,21,13,8,100
주왕산,지역별,강원,30,11,19,100
주왕산,지역별,경기,227,182,45,100
주왕산,지역별,제주,11,4,7,100
주왕산,지역별,충북,30,18,12,100
주왕산,지역별,충남,40,21,19,100
주왕산,지역별,전북,35,19,16,100
주왕산,지역별,전남,35,17,18,100
주왕산,지역별,경북,55,34,21,100
주왕산,지역별,경남,65,40,25,100
주왕산,직업별,관리 / 사무직,89,65,24,100
주왕산,직업별,자영업 / 개인사업,190,153,37,100
주왕산,직업별,전문직,41,32,9,100
주왕산,직업별,교사 / 공무원,36,30,6,100
주왕산,직업별,서비스직 / 생산 및 판매직,249,148,101,100
주왕산,직업별,농업관련직,35,10,25,100
주왕산,직업별,주부,167,70,97,100
주왕산,직업별,기타,193,107,86,100
주왕산,학력별,초등학교 졸업,28,13,15,100
주왕산,학력별,중학교 졸업,103,41,62,100
주왕산,학력별,고등학교 졸업,410,267,143,100
주왕산,학력별,대학교 재학 중,71,41,30,100
주왕산,학력별,대학교 졸업,332,211,121,100
주왕산,학력별,대학원 이상,56,42,14,100
주왕산,소득별,100만원 미만,174,131,43,100
주왕산,소득별,100만원 이상 ~ 200만원 미만,281,121,160,100
주왕산,소득별,200만원 이상 ~ 300만원 미만,265,174,91,100
주왕산,소득별,300만원 이상 ~ 400만원 미만,189,119,70,100
주왕산,소득별,400만원 이상,91,70,21,100
지리산,성별,남성,489,460,29,100
지리산,성별,여성,511,505,6,100
지리산,연령별,20대,179,170,9,100
지리산,연령별,30대,212,207,5,100
지리산,연령별,40대,223,213,10,100
지리산,연령별,50대,179,175,4,100
지리산,연령별,60대 이상,207,200,7,100
지리산,지역별,서울,209,207,2,100
지리산,지역별,부산,74,72,2,100
지리산,지역별,대구,52,50,2,100
지리산,지역별,인천,58,55,3,100
지리산,지역별,광주,27,26,1,100
지리산,지역별,대전,31,30,1,100
지리산,지역별,울산,21,19,2,100
지리산,지역별,강원,30,28,2,100
지리산,지역별,경기,227,226,1,100
지리산,지역별,제주,11,8,3,100
지리산,지역별,충북,30,26,4,100
지리산,지역별,충남,40,39,1,100
지리산,지역별,전북,35,32,3,100
지리산,지역별,전남,35,31,4,100
지리산,지역별,경북,55,53,2,100
지리산,지역별,경남,65,63,2,100
지리산,직업별,관리 / 사무직,89,86,3,100
지리산,직업별,자영업 / 개인사업,190,182,8,100
지리산,직업별,전문직,41,38,3,100
지리산,직업별,교사 / 공무원,36,30,6,100
지리산,직업별,서비스직 / 생산 및 판매직,249,242,7,100
지리산,직업별,농업관련직,35,33,2,100
지리산,직업별,주부,167,164,3,100
지리산,직업별,기타,193,190,3,100
지리산,학력별,초등학교 졸업,28,20,8,100
지리산,학력별,중학교 졸업,103,100,3,100
지리산,학력별,고등학교 졸업,410,402,8,100
지리산,학력별,대학교 재학 중,71,65,6,100
지리산,학력별,대학교 졸업,332,328,4,100
지리산,학력별,대학원 이상,56,50,6,100
지리산,소득별,100만원 미만,174,170,4,100
지리산,소득별,100만원 이상 ~ 200만원 미만,281,266,15,100
지리산,소득별,200만원 이상 ~ 300만원 미만,265,259,6,100
지리산,소득별,300만원 이상 ~ 400만원 미만,189,184,5,100
지리산,소득별,400만원 이상,91,86,5,100
치악산,성별,남성,489,365,124,100
치악산,성별,여성,511,389,122,100
치악산,연령별,20대,179,152,27,100
치악산,연령별,30대,212,178,34,100
치악산,연령별,40대,223,158,65,100
치악산,연령별,50대,179,123,56,100
치악산,연령별,60대 이상,207,143,64,100
치악산,지역별,서울,209,164,45,100
치악산,지역별,부산,74,63,11,100
치악산,지역별,대구,52,40,12,100
치악산,지역별,인천,58,38,20,100
치악산,지역별,광주,27,20,7,100
치악산,지역별,대전,31,22,9,100
치악산,지역별,울산,21,13,8,100
치악산,지역별,강원,30,18,12,100
치악산,지역별,경기,227,181,46,100
치악산,지역별,제주,11,5,6,100
치악산,지역별,충북,30,23,7,100
치악산,지역별,충남,40,27,13,100
치악산,지역별,전북,35,27,8,100
치악산,지역별,전남,35,26,9,100
치악산,지역별,경북,55,37,18,100
치악산,지역별,경남,65,50,15,100
치악산,직업별,관리 / 사무직,89,77,12,100
치악산,직업별,자영업 / 개인사업,190,144,46,100
치악산,직업별,전문직,41,30,11,100
치악산,직업별,교사 / 공무원,36,27,9,100
치악산,직업별,서비스직 / 생산 및 판매직,249,208,41,100
치악산,직업별,농업관련직,35,26,9,100
치악산,직업별,주부,167,108,59,100
치악산,직업별,기타,193,134,59,100
치악산,학력별,초등학교 졸업,28,17,11,100
치악산,학력별,중학교 졸업,103,88,15,100
치악산,학력별,고등학교 졸업,410,312,98,100
치악산,학력별,대학교 재학 중,71,46,25,100
치악산,학력별,대학교 졸업,332,244,88,100
치악산,학력별,대학원 이상,56,47,9,100
치악산,소득별,100만원 미만,174,138,36,100
치악산,소득별,100만원 이상 ~ 200만원 미만,281,198,83,100
치악산,소득별,200만원 이상 ~ 300만원 미만,265,201,64,100
치악산,소득별,300만원 이상 ~ 400만원 미만,189,143,46,100
치악산,소득별,400만원 이상,91,74,17,100
태안해안,성별,남성,489,253,236,100
태안해안,성별,여성,511,236,275,100
태안해안,연령별,20대,179,101,78,100
태안해안,연령별,30대,212,153,59,100
태안해안,연령별,40대,223,84,139,100
태안해안,연령별,50대,179,71,108,100
태안해안,연령별,60대 이상,207,80,127,100
태안해안,지역별,서울,209,127,82,100
태안해안,지역별,부산,74,29,45,100
태안해안,지역별,대구,52,20,32,100
태안해안,지역별,인천,58,21,37,100
태안해안,지역별,광주,27,12,15,100
태안해안,지역별,대전,31,18,13,100
태안해안,지역별,울산,21,17,4,100
태안해안,지역별,강원,30,15,15,100
태안해안,지역별,경기,227,130,97,100
태안해안,지역별,제주,11,3,8,100
태안해안,지역별,충북,30,10,20,100
태안해안,지역별,충남,40,14,26,100
태안해안,지역별,전북,35,16,19,100
태안해안,지역별,전남,35,18,17,100
태안해안,지역별,경북,55,21,34,100
태안해안,지역별,경남,65,18,47,100
태안해안,직업별,관리 / 사무직,89,36,53,100
태안해안,직업별,자영업 / 개인사업,190,67,123,100
태안해안,직업별,전문직,41,22,19,100
태안해안,직업별,교사 / 공무원,36,21,15,100
태안해안,직업별,서비스직 / 생산 및 판매직,249,177,72,100
태안해안,직업별,농업관련직,35,10,25,100
태안해안,직업별,주부,167,78,89,100
태안해안,직업별,기타,193,78,115,100
태안해안,학력별,초등학교 졸업,28,8,20,100
태안해안,학력별,중학교 졸업,103,40,63,100
태안해안,학력별,고등학교 졸업,410,247,163,100
태안해안,학력별,대학교 재학 중,71,41,30,100
태안해안,학력별,대학교 졸업,332,121,211,100
태안해안,학력별,대학원 이상,56,32,24,100
태안해안,소득별,100만원 미만,174,81,93,100
태안해안,소득별,100만원 이상 ~ 200만원 미만,281,78,203,100
태안해안,소득별,200만원 이상 ~ 300만원 미만,265,189,76,100
태안해안,소득별,300만원 이상 ~ 400만원 미만,189,76,113,100
태안해안,소득별,400만원 이상,91,65,26,100
한라산,성별,남성,489,449,40,100
한라산,성별,여성,511,403,108,100
한라산,연령별,20대,179,131,48,100
한라산,연령별,30대,212,189,23,100
한라산,연령별,40대,223,198,25,100
한라산,연령별,50대,179,161,18,100
한라산,연령별,60대 이상,207,173,34,100
한라산,지역별,서울,209,198,11,100
한라산,지역별,부산,74,65,9,100
한라산,지역별,대구,52,43,9,100
한라산,지역별,인천,58,54,4,100
한라산,지역별,광주,27,21,6,100
한라산,지역별,대전,31,25,6,100
한라산,지역별,울산,21,15,6,100
한라산,지역별,강원,30,21,9,100
한라산,지역별,경기,227,182,45,100
한라산,지역별,제주,11,10,1,100
한라산,지역별,충북,30,22,8,100
한라산,지역별,충남,40,33,7,100
한라산,지역별,전북,35,30,5,100
한라산,지역별,전남,35,29,6,100
한라산,지역별,경북,55,47,8,100
한라산,지역별,경남,65,57,8,100
한라산,직업별,관리 / 사무직,89,82,7,100
한라산,직업별,자영업 / 개인사업,190,148,42,100
한라산,직업별,전문직,41,33,8,100
한라산,직업별,교사 / 공무원,36,27,9,100
한라산,직업별,서비스직 / 생산 및 판매직,249,210,39,100
한라산,직업별,농업관련직,35,28,7,100
한라산,직업별,주부,167,146,21,100
한라산,직업별,기타,193,178,15,100
한라산,학력별,초등학교 졸업,28,20,8,100
한라산,학력별,중학교 졸업,103,87,16,100
한라산,학력별,고등학교 졸업,410,359,51,100
한라산,학력별,대학교 재학 중,71,49,22,100
한라산,학력별,대학교 졸업,332,290,42,100
한라산,학력별,대학원 이상,56,47,9,100
한라산,소득별,100만원 미만,174,156,18,100
한라산,소득별,100만원 이상 ~ 200만원 미만,281,231,50,100
한라산,소득별,200만원 이상 ~ 300만원 미만,265,214,51,100
한라산,소득별,300만원 이상 ~ 400만원 미만,189,171,18,100
한라산,소득별,400만원 이상,91,80,11,100
한려해상,성별,남성,489,341,148,100
한려해상,성별,여성,511,366,145,100
한려해상,연령별,20대,179,102,77,100
한려해상,연령별,30대,212,152,60,100
한려해상,연령별,40대,223,171,52,100
한려해상,연령별,50대,179,148,31,100
한려해상,연령별,60대 이상,207,134,73,100
한려해상,지역별,서울,209,151,58,100
한려해상,지역별,부산,74,44,30,100
한려해상,지역별,대구,52,35,17,100
한려해상,지역별,인천,58,31,27,100
한려해상,지역별,광주,27,18,9,100
한려해상,지역별,대전,31,19,12,100
한려해상,지역별,울산,21,17,4,100
한려해상,지역별,강원,30,13,17,100
한려해상,지역별,경기,227,198,29,100
한려해상,지역별,제주,11,6,5,100
한려해상,지역별,충북,30,20,10,100
한려해상,지역별,충남,40,21,19,100
한려해상,지역별,전북,35,24,11,100
한려해상,지역별,전남,35,21,14,100
한려해상,지역별,경북,55,41,14,100
한려해상,지역별,경남,65,48,17,100
한려해상,직업별,관리 / 사무직,89,84,5,100
한려해상,직업별,자영업 / 개인사업,190,150,40,100
한려해상,직업별,전문직,41,39,2,100
한려해상,직업별,교사 / 공무원,36,29,7,100
한려해상,직업별,서비스직 / 생산 및 판매직,249,164,85,100
한려해상,직업별,농업관련직,35,14,21,100
한려해상,직업별,주부,167,89,78,100
한려해상,직업별,기타,193,138,55,100
한려해상,학력별,초등학교 졸업,28,14,14,100
한려해상,학력별,중학교 졸업,103,48,55,100
한려해상,학력별,고등학교 졸업,410,294,116,100
한려해상,학력별,대학교 재학 중,71,52,19,100
한려해상,학력별,대학교 졸업,332,258,74,100
한려해상,학력별,대학원 이상,56,41,15,100
한려해상,소득별,100만원 미만,174,115,59,100
한려해상,소득별,100만원 이상 ~ 200만원 미만,281,164,117,100
한려해상,소득별,200만원 이상 ~ 300만원 미만,265,217,48,100
한려해상,소득별,300만원 이상 ~ 400만원 미만,189,127,62,100
한려해상,소득별,400만원 이상,91,84,7,100
