No.,공원명,유형,제목,이용기간시작일,이용기간종료일,탐방시간,상태
241,한려해상동부,탐방안내,국립공원 방과후학교,2012-01-01 [일],2014-12-31 [수],60분,N
242,계룡산,자연생태,국립공원 어린이 숲학교,2012-05-01 [화],2014-12-31 [수],90분,Y
243,변산반도,자연생태,변산반도국립공원과 함께하는 “자연에서 놀아요”,2014-02-01 [토],2014-12-31 [수],2시간,Y
244,계룡산,자연생태,2012_인증)수통골에서 나누는 자연과의 대화(A),2012-09-19 [수],2014-12-31 [수],90분,Y
245,내장산백암,자연생태,[백암]국립공원방과후학교(백양골자연학교 방과후학교),2013-01-10 [목],2014-12-31 [수],1시간,N
246,오대산,자연생태,2013_인증) 선재길 따라 힐링여행,2013-05-01 [수],2013-11-15 [금],2시간~3시간,N
247,월악산,미래세대,국립공원 방과후학교,2014-01-01 [수],2014-12-31 [수],120분,N
248,주왕산,자연생태,국립공원 어린이 숲학교,2013-03-01 [금],2014-12-31 [수],1시간 30분~2시간,N
249,설악산,탐방안내,[미래세대]국립공원 방과후 학교 (설악산국립공원 Eco-school),2014-01-01 [수],2014-12-31 [수],1시간 30분,N
250,설악산,자연생태,[미래세대]국립공원 어린이 숲학교(설악산 풀이음 숲 속 놀이터),2013-03-01 [금],2014-12-31 [수],2시간,N
251,치악산,자연생태,국립공원 방과후학교,2014-01-01 [수],2014-12-31 [수],1시간,N
252,치악산,자연생태,국립공원 어린이 숲학교,2014-01-01 [수],2014-12-31 [수],1시간,N
253,속리산,자연생태,방과후 어린이 승마교실,2013-03-19 [화],2014-08-31 [일],2시간,Y
254,소백산,탐방안내,지역주민과 함께하는 국립공원체험교실,2013-04-03 [수],2015-12-31 [목],1시간,N
255,다도해해상,탐방안내,[국립공원 어린이 숲학교] 팔봉이 숲유치원,2013-03-01 [금],2014-12-31 [수],약 1시간 내외,Y
256,내장산백암,자연생태,[백암]자연이 살아 숨쉬는 생태계의 보고 입암산 습지 탐험,2014-02-05 [수],2014-12-31 [수],3시간,N
257,종복원기술원,자연생태,"살아있는 화석, 산양을 만나요!",2014-01-01 [수],2014-12-31 [수],40분,Y
258,종복원기술원,자연생태,찾아가는 국립공원 교실(식물팀),2014-01-01 [수],2014-12-31 [수],1시간,Y
259,종복원기술원,미래세대,국립공원 어린이 숲학교,2014-04-01 [화],2014-11-30 [일],1~2시간,Y
260,종복원기술원,자연생태,찾아가는 국립공원 교실(산양팀),2014-03-01 [토],2014-11-30 [일],1시간,Y
261,치악산,자연생태,치악산 홀씨 탐사단(주니어레인저),2014-01-01 [수],2014-12-31 [수],4시간,N
262,주왕산,자연생태,주왕전설을 품은 바위이야기,2013-06-01 [토],2014-12-31 [수],1시간 이상,Y
263,다도해해상,역사문화,비렁길 역사문화해설프로그램,2013-06-24 [월],2014-12-31 [수],약 30분,Y
264,한려해상동부,탐방안내,낭만&즐거움이 넘치는 오토캠핑장,2013-07-01 [월],2014-10-31 [금],60분,N
265,다도해해상서부,자연생태,"[서부]소원의 섬, 영산도",2013-08-01 [목],2014-12-31 [수],1시간,Y
266,소백산,역사문화,시와 이야기가 흐르는 죽계구곡 사계절 역사문화 산책,2013-10-01 [화],2016-12-31 [토],2시간,Y
267,생태탐방연수원,자연생태,국립공원청소년직업캠프,2014-01-01 [수],2014-12-31 [수],-,N
268,생태탐방연수원,자연생태,국립공원청소년자연캠프,2014-01-01 [수],2014-12-31 [수],-,N
269,설악산,자연생태,하나의 길 두개의 숲과 함께하는 명상체험,2014-01-01 [수],2014-12-31 [수],1시간 30분,N
270,무등산,자연생태,편백림 에코투어,2014-04-01 [화],2014-10-31 [금],1시간,Y
271,북한산,자연생태,국립공원 주니어레인저,2014-03-01 [토],2014-08-31 [일],1시간,Y
272,연구원,자연생태,"흑산도,홍도 철새 이야기",2014-01-01 [수],2014-12-31 [수],40분,Y
273,연구원,자연생태,습지의 조류를 찾아서,2014-01-01 [수],2014-12-31 [수],1시간~2시간,Y
274,지리산북부,탐방안내,뱀사골탐방안내소 가이드A,2014-01-01 [수],2014-12-31 [수],50분,Y
275,무등산동부,자연생태,[무등산동부]오감연결길에서 만나는 건강체험,2014-03-01 [토],2014-12-31 [수],2시간 내,Y
276,무등산동부,역사문화,[무등산동부]보물을 간직한 만연사 이야기,2014-03-01 [토],2014-11-30 [일],2시간 내외,Y
277,무등산동부,자연생태,[무등산동부]주상절리를 찾아서,2014-03-01 [토],2014-11-30 [일],2시간 내외,Y
278,무등산동부,일반,[무등산동부]사회성증진프로그램,2014-03-01 [토],2014-11-30 [일],2시간,Y
279,무등산동부,미래세대,[무등산동부]국립공원 방과후학교,2014-03-01 [토],2014-11-30 [일],2시간 내외,Y
280,무등산동부,미래세대,[무등산동부]찾아가는 국립공원,2014-03-01 [토],2014-12-31 [수],1시간,Y
281,무등산동부,미래세대,[무등산동부]주니어레인저 직업체험,2014-03-01 [토],2014-11-30 [일],월1회,Y
282,무등산동부,미래세대,[무등산동부]국립공원 어린이 숲학교,2014-03-01 [토],2014-11-30 [일],1시간 내외,Y
283,속리산,자연생태,국립공원 방과후학교,2014-01-01 [수],2014-08-31 [일],2시간,Y
284,속리산,자연생태,국립공원 어린이 숲학교,2014-01-01 [수],2014-08-31 [일],5시간,Y
285,속리산,자연생태,"교실 밖으로, 숲으로",2014-01-01 [수],2014-08-31 [일],1시간,Y
286,속리산,역사문화,"교실 밖으로, 천년의 역사속으로",2014-01-01 [수],2014-08-31 [일],1시간,Y
287,내장산,자연생태,달마다 달라지는 내장호 이야기,2014-03-29 [토],2014-11-30 [일],2시간,Y
288,소백산,탐방안내,고지대거점해설,2014-03-01 [토],2014-12-31 [수],30분,Y
289,월악산,자연생태,국립공원 어린이 숲학교,2014-01-01 [수],2014-12-31 [수],90분,N
290,무등산,자연생태,무등산 green road,2014-03-01 [토],2014-11-30 [일],사전 협의,Y
291,무등산,미래세대,국립공원 어린이 숲학교,2014-04-01 [화],2014-12-31 [수],50분,Y
292,무등산,탐방안내,원효사지구 거점해설,2014-03-22 [토],2014-12-31 [수],30분,Y
293,한려해상동부,자연생태,"Nature, our Future! 한려해상국립공원 주니어해설사",2013-04-01 [월],2014-12-31 [수],120분,N
294,무등산,미래세대,국립공원 방과후학교 ,2014-04-01 [화],2014-12-31 [수],1시간,Y
295,연구원,자연생태,철새에게 가락지를,2014-01-01 [수],2014-12-31 [수],1시간,Y
296,무등산,자연생태,"느림 길, 무등산 옛길",2014-03-01 [토],2014-12-31 [수],신청기관과 협의에 의함,Y
297,가야산,자연생태,산사로가는길,2014-01-01 [수],2014-12-31 [수],60분,Y
298,무등산,미래세대,국립공원 자유학기제,2014-04-01 [화],2014-11-30 [일],6시간,Y
299,소백산북부,미래세대,주니어레인저,2014-04-03 [목],2014-12-31 [수],6시간,Y
300,계룡산,탐방안내,2007_인증) 계룡산을 찾아 떠나는 여행(A),2008-01-01 [화],2014-12-31 [수],60분,N
301,계룡산,탐방안내,하늘과 이어주는 봉우리 연천봉(A),2010-04-01 [목],2014-12-31 [수],20분,Y
302,계룡산,탐방안내,천년의 역사를 간직한 남매탑(A),2010-04-01 [목],2014-12-31 [수],20분,Y
303,무등산,미래세대,도전! 청.포.도,2014-05-17 [토],2014-12-31 [수],3시간,Y
304,연구원,미래세대,찾아가는국립공원교실,2014-01-01 [수],2014-12-31 [수],13:30~14:30,Y
305,월악산,자연생태,월악산 에코로드 탐사대,2014-01-01 [수],2014-12-31 [수],60분,N
306,다도해해상서부,미래세대,[서부]국립공원 방과후 1,2014-01-01 [수],2014-12-31 [수],1시간,Y
307,다도해해상서부,미래세대,[서부]국립공원 자유학기제,2014-01-01 [수],2014-12-31 [수],1시간,Y
308,무등산,미래세대,Park Ranger 함께하는 무등산 지질여행,2014-05-01 [목],2014-11-30 [일],당일형(09:00~16:30),Y
309,치악산,자연생태,금대힐링캠핑장 숲속 명상,2014-01-01 [수],2014-12-31 [수],1시간,Y
310,무등산,미래세대,찾아가는 국립공원 교실,2014-04-01 [화],2014-10-31 [금],1시간,Y
311,종복원기술원,미래세대,찾아가는 야생생물 학교,2014-03-01 [토],2014-11-30 [일],1시간,Y
312,무등산,역사문화,바람도 구름도 쉬어가는 평촌마을 힐링여행,2014-07-01 [화],2014-10-31 [금],당일형(6시간),N
313,북한산도봉,미래세대,(도봉)국립공원 자유학기제,2014-07-16 [수],2014-11-05 [수],5시간,N
314,무등산,탐방안내,증심사지구 거점해설,2014-06-01 [일],2014-11-30 [일],30분,Y
315,한려해상,미래세대,[환경교육] 나는야! 갯벌지킴이,2014-04-01 [화],2014-12-31 [수],2시간 이내,Y
316,다도해해상,역사문화,-,2014-08-23 [토],2014-08-23 [토],-,N
317,소백산북부,체험프로그램,국립공원 자유학기제,2014-08-18 [월],2014-12-31 [수],2시간,Y
318,다도해해상,역사문화,"(탐방프로그램)[2010 국립공원인증]어부사시사와 함께하는 세연정 역사,문화해설 A",2014-09-10 [수],2014-12-31 [수],-,N
319,무등산,자연생태,무등산 생태문화 힐링캠프,2014-09-01 [월],2014-11-09 [일],당일형(6시간),N
320,치악산,미래세대,자유학기제 프로그램,2014-09-01 [월],2014-10-31 [금],2~8시간,Y
321,계룡산,미래세대,국립공원 자유학기제(체험형),2014-08-01 [금],2014-11-30 [일],6시간,Y
322,계룡산,미래세대,국립공원 자유학기제(강의형),2014-08-01 [금],2014-11-30 [일],2시간,Y
323,한려해상동부,미래세대,국립공원 자유학기제,2014-07-01 [화],2014-12-31 [수],10:00~12:00,N
324,태안해안,미래세대,국립공원 자유학기제,2014-08-01 [금],2014-12-31 [수],2시간 내외,Y
325,오대산,기획,국립공원 자유학기제,2014-09-22 [월],2014-12-30 [화],2시간,N
326,가야산,미래세대,국립공원 어린이 숲학교,2014-01-01 [수],2014-12-31 [수],50분,Y
327,가야산,미래세대,국립공원 방과후학교,2014-01-01 [수],2014-12-31 [수],50분,Y
328,월악산,일반,국립공원 자유학기제,2014-01-01 [수],2014-12-31 [수],6시간,N
329,북한산,자연생태,국립공원 자유학기제,2014-09-01 [월],2014-11-30 [일],1시간,Y
330,덕유산,미래세대,[덕유산] 국립공원 방과후학교 ,2014-01-01 [수],2014-11-30 [일],50분,Y
331,생태탐방연수원,미래세대,국립공원주니어레인저,2014-01-01 [수],2014-12-31 [수],10:00~16:00,N
332,생태탐방연수원,생태관광,쉬어가는 생태발걸음,2014-04-18 [금],2014-04-19 [토],09:00~16:00,Y
333,무등산동부,체험프로그램,[무등산동부]무등산 숲속 만들기 교실,2014-01-01 [수],2014-12-31 [수],1시간,Y
334,지리산북부,탐방안내,국립공원 방과후 학교,2014-01-01 [수],2014-12-31 [수],1시간,Y
335,지리산북부,미래세대,국립공원 어린이 숲학교,2014-01-01 [수],2014-12-31 [수],1시간,Y
336,생태탐방연수원,생태관광,쉬어가는 생태발걸음,2014-05-12 [월],2014-05-12 [월],12:00~16:00,Y
337,생태탐방연수원,생태관광,쉬어가는 생태발걸음,2014-05-17 [토],2014-05-17 [토],09:00~18:00,Y
338,생태탐방연수원,생태관광,쉬어가는 생태발걸음,2014-04-18 [금],2014-04-19 [토],09:00~18;00,Y
339,생태탐방연수원,생태관광,브런치 생태여행,2014-05-16 [금],2014-05-16 [금],10:00~15:00,Y
340,생태탐방연수원,생태관광,쉬어가는 생태발걸음,2014-05-23 [금],2014-05-23 [금],12:00~16:00,Y
341,생태탐방연수원,생태관광,쉬어가는 생태발걸음,2014-05-23 [금],2014-05-23 [금],12:00~16:00,Y
342,생태탐방연수원,생태관광,브런치 생태여행,2014-06-19 [목],2014-06-19 [목],10:00~15:00,Y
343,생태탐방연수원,생태관광,브런치 생태여행,2014-06-19 [목],2014-06-19 [목],12:00~16:00,Y
344,생태탐방연수원,생태관광,쉬어가는 생태발걸음,2014-07-04 [금],2014-07-04 [금],09:00~16:00,Y
345,생태탐방연수원,생태관광,브런치 생태여행,2014-07-05 [토],2014-07-05 [토],09:00~15:00,Y
346,생태탐방연수원,생태관광,브런치 생태여행,2014-07-05 [토],2014-07-05 [토],10:00~16:00,Y
347,생태탐방연수원,생태관광,쉬어가는 생태발걸음,2014-07-25 [금],2014-07-26 [토],10:00~18:00,Y
348,생태탐방연수원,생태관광,브런치 생태여행,2014-08-24 [일],2014-08-24 [일],10:00~15:00,Y
349,생태탐방연수원,생태관광,쉬어가는 생태발걸음,2014-08-28 [목],2014-08-28 [목],09:30~15:00,Y
350,생태탐방연수원,생태관광,쉬어가는 생태발걸음,2014-09-04 [목],2014-09-04 [목],09:30~12:00,Y
351,생태탐방연수원,생태관광,쉬어가는 생태발걸음,2014-09-18 [목],2014-09-18 [목],09:30~15:00,Y
352,생태탐방연수원,생태관광,쉬어가는 생태발걸음,2014-09-25 [목],2014-09-25 [목],0930~12:00,Y
353,생태탐방연수원,기타(신),등산학교,2014-01-01 [수],2014-12-31 [수],09:00~18:00,N
354,생태탐방연수원,생태관광,쉬어가는 생태발걸음,2014-09-25 [목],2014-09-25 [목],9:30~12:00,Y
355,생태탐방연수원,생태관광,쉬어가는 생태발걸음,2014-09-25 [목],2014-09-25 [목],09:00~12:00,Y
356,생태탐방연수원,생태관광,쉬어가는 생태발걸음,2014-09-25 [목],2014-09-25 [목],09:30~12:00,Y
357,생태탐방연수원,생태관광,쉬어가는 생태발걸음,2014-10-02 [목],2014-10-02 [목],09:30~15:00,Y
358,생태탐방연수원,생태관광,쉬어가는 생태발걸음,2014-10-16 [목],2014-10-16 [목],09:30~15:00,Y
359,생태탐방연수원,생태관광,쉬어가는 생태발걸음,2014-10-27 [월],2014-10-27 [월],09:30~12:00,Y
360,생태탐방연수원,생태관광,쉬어가는 생태발걸음,2014-10-27 [월],2014-10-27 [월],09:00~12:00,Y
361,생태탐방연수원,생태관광,쉬어가는 생태발걸음,2014-10-30 [목],2014-10-30 [목],09:30~12:00,Y
362,생태탐방연수원,생태관광,쉬어가는 생태발걸음,2014-11-06 [목],2014-11-06 [목],09:30~15:00,Y
363,생태탐방연수원,생태관광,쉬어가는 생태발걸음,2014-11-20 [목],2014-11-20 [목],09:30~15:00,Y
364,생태탐방연수원,생태관광,도심 속 생태여행,2014-11-24 [월],2014-11-26 [수],09:00~18:00,Y
365,생태탐방연수원,생태관광,쉬어가는 생태발걸음,2014-11-27 [목],2014-11-27 [목],09:30~15:00,Y
